first_author,institution,full_affiliation
 Kavitha TK,PGIMER Postgraduate Institute of Medical Education & Research,"PGIMER Postgraduate Institute of Medical Education & Research, Chandigarh, India"
 Deirdre Puccetti,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 William Miranda Lopez,San Juan,"San Juan, PR"
 Deirdre Puccetti,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi, Pakistan"
 Leslie Dervan,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Kate Madden,Boston,"Boston, MA"
 Sarah Au,SUNY Upstate Medical University,"SUNY Upstate Medical University, Syracuse, NY"
 Ila Sehgal,University of Texas at Austin Dell Medical School,"University of Texas at Austin Dell Medical School, Austin, TX"
 Nada Mallick,Children’s National Medical Center,"Children’s National Medical Center, Washington, DC"
 Andrew Becker,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Diana Chen,Harbor UCLA Medical Center and Children’s Hospital of Orange County,"Harbor UCLA Medical Center and Children’s Hospital of Orange County, Torrance, CA"
 Michael Wolf,Pittsburgh,"Pittsburgh, PA"
 Jaskaran Rakkar,UPMC Children’s Hospital of Pittsburgh,"UPMC Children’s Hospital of Pittsburgh, Pittsburgh, PA"
 Jonathan Feldman,Kaiser Santa Clara Medical Center,"Kaiser Santa Clara Medical Center, Santa Clara, CA"
 David Butler,Seattle Children’s Hospital/University of Washington,"Seattle Children’s Hospital/University of Washington, Seattle, WA"
 Nazli Deveci,Waisman Center - University of Wisconsin,"Waisman Center - University of Wisconsin, Madison, WI"
 Pamela Reiter,Children’s Hospital Colorado,"Children’s Hospital Colorado, Aurora, CO"
 Robin Craig,Buffalo,"Buffalo, NY"
 Jennifer Macdonald,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Taylor Nickerson,Columbus,"Columbus, OH"
 Heda Dapul,NYU Langone Health,"NYU Langone Health, New York, NY"
 Asher Bercow,Bronx,"Bronx, NY"
 Christina Benjamin,Tulsa,"Tulsa, OK"
 Belissa M Ramos Chaves,Sarasota Memorial Hospital-Florida State University College of Medicine,"Sarasota Memorial Hospital-Florida State University College of Medicine, Sarasota, FL"
 Ahmed Kiani,Indiana University School Of Medicine,"Indiana University School Of Medicine, Indianapolis, IN"
 Alexandra Barber,University of North Carolina Medical Center,"University of North Carolina Medical Center, Chapel Hill, NC"
 Carlos Dorta,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Natasha Del Rio,MD,"MD, Miami, FL"
 William Li,SUNY Downstate Medical University,"SUNY Downstate Medical University, Brooklyn, NY"
 John Leotaud,University of Texas Health Sciences Center at Houston,"University of Texas Health Sciences Center at Houston, Houston, TX"
 Michael Samarin,Memphis,"Memphis, TN"
 Matthew Briski,Kansas City,"Kansas City, MO"
 Christian Kressin,University of Kentucky Albert B Chandler Hospital,"University of Kentucky Albert B Chandler Hospital, Lexington, KY"
 Micheal Strein,Virginia Commonwealth University,"Virginia Commonwealth University, Richmond, VA"
 Meghana Illendula,University of Virginia,"University of Virginia, Charlottesville, VA"
 Kaitlyn McPherson,WVU Medicine,"WVU Medicine, Morgantown, WV"
 Taylor Goins,University of Virginia Health,"University of Virginia Health, Charlottesville, VA"
 Jennifer Stahl,East Carolina University Brody School of Medicine,"East Carolina University Brody School of Medicine, Greenville, NC"
 James Priano,AdventHealth Orlando,"AdventHealth Orlando, Orlando, FL"
 Jessica McManus,Baptist Medical Center,"Baptist Medical Center, Jacksonville, FL"
 Jason Vilar,AdventHealth Orlando,"AdventHealth Orlando, Orlando, FL"
 Edith Liang,Chicago,"Chicago, IL"
 Peyton Plummer,Ochsner Medical Center,"Ochsner Medical Center, New Orleans, LA"
 Natalie Washburn,Bronson Methodist Hospital,"Bronson Methodist Hospital, Kalamazoo, MI"
 Albert Zichichi,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Madihah Hepburn,Cleveland Clinic,"Cleveland Clinic, University Heights, OH"
 Hilamber Subba,Maine Medical Center,"Maine Medical Center, Portland, ME"
 Susan Schmidt,St. Christopher’s Hospital for Children,"St. Christopher’s Hospital for Children, Philadelphia, PA"
 Jason Bacon,Lansdale,"Lansdale, PA"
 Tahmina Jahir,Jamaica Hospital Medical Center,"Jamaica Hospital Medical Center, Richmond Hill, NY"
 Tarun Singh,Rochester,"Rochester, MN"
 Samantha Spetz,ProMedica Toledo Hospital/Toledo Children’s Hospital,"ProMedica Toledo Hospital/Toledo Children’s Hospital, Toledo, OH"
 Ofer Sadan,Emory University Hospital,"Emory University Hospital, Atlanta, GA"
 Victor Rivera,Methodist Healthcare Memphis Hospitals,Methodist Healthcare Memphis Hospitals
 Angelina Finn,Evergreen Park,"Evergreen Park, IL"
 Sasa Ivanovic,Saint Barnabas Medical Center,"Saint Barnabas Medical Center, Livingston, NJ"
 Kristin Davis,Emory School of Medicine,"Emory School of Medicine, Dept. of Anesthesiology, Atlanta, GA"
 Elizabeth Crago,University Of Pittsburgh School of Nursing,"University Of Pittsburgh School of Nursing, Youngwood, PA"
 Maya Elias,University of Miami,"University of Miami, Coral Gables, FL"
 Maya Elias,University of Miami,"University of Miami, Coral Gables, FL"
 John Devlin,Northeastern University,"Northeastern University, Boston, MA"
 Julio Mijangos-Mendez,Intensive care unit,"Intensive care unit, Hospital Civil de Guadalajara Fray Antonio Alcalde, Guadalajara, Jalisco"
 Corey Fehnel,Beth Israel Deaconess Medical Center,"Beth Israel Deaconess Medical Center, Boston, MA"
 Lauren Fukuhara,University of Colorado,"University of Colorado, Aurora, CO"
 José Arnulfo López Pulgarín,Intensive Care Unit,"Intensive Care Unit, Hospital Civil De Guadalajara Fray Antonio Alcalde, Guadalajara, Mexico"
 Han-Gil Jeong,Seoul National University Bundang Hospital,"Seoul National University Bundang Hospital, Seongnam, South Korea"
 Amaresh Ranjan,Midwestern University,"Midwestern University, Downers Grove, IL"
 Erkan Hassan,Clarksville,"Clarksville, MD"
 Wasif Shamsi,Western Michigan University Homer Stryker M.D. School of Medicine,"Western Michigan University Homer Stryker M.D. School of Medicine, Kalamazoo, MI"
 Juliana Heatter,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, T"
 Wajahat Lodhi,Rush University Medical Center,"Rush University Medical Center, Chicago, IL"
 Nicole Rapista,Sinai Hospital of Baltimore,"Sinai Hospital of Baltimore, Baltimore, MD"
 Kent Owusu,Yale New Haven Health,"Yale New Haven Health, New Haven, CT"
 Shweta Goswami,Kansas City,"Kansas City, MO"
 Ofer Sadan,Emory University Hospital,"Emory University Hospital, Atlanta, GA"
 Marta Fernandes,Massachusetts General Hospital,"Massachusetts General Hospital, Boston, MA"
 Aibek Mirrakhimov,University of New Mexico,"University of New Mexico, Albuquerque, NM"
 Kishankumar Patel,Brandon Regional Hospital,"Brandon Regional Hospital, Brandon, FL"
 Satoshi Egawa,Neurointensive Care Unit,"Neurointensive Care Unit, TMG Asaka Medical Center, Saitama, Japan"
 Subhan Mohammed,University of Florida,"University of Florida, Gainesville, FL"
 Wei-Long Zheng,Massachusetts General Hospital,"Massachusetts General Hospital, Harvard Medical School, Boston, MA"
 Lindsey Little,Emory University Hospital,"Emory University Hospital, Atlanta, GA"
 Sheila Alexander,University of Pittsburgh,"University of Pittsburgh, Pittsburgh, PA"
 Zhuoran Wang,University of Maryland School of Medicine,"University of Maryland School of Medicine, Baltimore, MD"
 Xi Gao,Xi‘an,"Xi‘an, AA"
 Stephanie Dym,NYU-Winthrop Hospital,"NYU-Winthrop Hospital, Mineola, NY"
 Tamra Langley,University of Kentucky,"University of Kentucky, Lexington, KY"
 Edilberto Amorim,University of California,"University of California, San Francisco & Massachusetts General Hospital, San Francisco, CA"
 Ibrahim Migdady,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Aimee Almanzar,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, Florida"
 Neeraj Badjatia,University of Maryland,"University of Maryland, Baltimore, MD"
 Seung Bin Kim,Seoul National University Bundang Hospital,"Seoul National University Bundang Hospital, Seongnam, South Korea"
 Xinyu Li,Carnegie Mellon University Auton Lab,"Carnegie Mellon University Auton Lab, Pittsburgh, PA"
 Nikhita Balabbigari,Overlook Medical Center,"Overlook Medical Center, Summit, NJ"
 Tracy Lee,Scripps Mercy Hospital,"Scripps Mercy Hospital, San Diego, CA"
 Nicholas Murray,Stanford University School of Medicine,"Stanford University School of Medicine, Palo Alto, US"
 Dolores Villar,George Washington University Hospital,"George Washington University Hospital, Washington, DC"
 DAVID ABIA TRUJILLO,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Arian Bethencourt Mirabal,Miami,"Miami, FL"
 Hannah Maloney,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Melanie Goodberlet,Brigham & Women’s Hospital,"Brigham & Women’s Hospital, Boston, MA"
 Matthew Luchette,Brookline,"Brookline, MA"
 Miriam Hakim,Olive View-UCLA Medical Center,"Olive View-UCLA Medical Center, Sylmar, CA"
 Nathaniel Woods,University of Maryland Medical Center,"University of Maryland Medical Center, Baltimore, MD"
 Christopher Payette,The George Washington University,"The George Washington University, Washington, DC"
 Remi Okwechime,Mandeville,"Mandeville, LA"
 Serenity Miller,University of Maryland,"University of Maryland, Baltimore, MD"
 Sean Bennett,Cleveland Clinic Akron General,"Cleveland Clinic Akron General, Akron, OH"
 Robert Martinez,University of Texas Medical Branch,"University of Texas Medical Branch, Galveston, TX"
 Alexandra Edwards,Saint Louis University,"Saint Louis University, St. Louis, MO"
 Allison Lankford,N/A,N/A
 Faraz Afridi,University of Florida,"University of Florida, Gainesville, FL"
 Halima Kabara,Aminu Kano Teaching Hospital,"Aminu Kano Teaching Hospital, Kano"
 Claudio Cesar Do Nascimento,Cleveland,"Cleveland, Ohio"
 Eugene Oreshnikov,Chuvash State University,"Chuvash State University, Cheboksary, Chuvashia"
 Atul Gupta,University of Chicago Medicine,"University of Chicago Medicine, Chicago, IL"
 Elida Moran,Torreon,Torreon
 Cara McDaniel,Thomas Jefferson University Hospital,"Thomas Jefferson University Hospital, Philadelphia, PA"
 Greg Haljan,Vancouver,"Vancouver, BC"
 Fuchsia Howard,University of British Columbia,"University of British Columbia, Vancouver, Canada"
 Zhan Liang,Coral Gables,"Coral Gables, FL"
 Nirmala Manjappachar,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 John Madara,Drexel University College of Medicine,"Drexel University College of Medicine, Philadelphia, PA"
 Nirmala Manjappachar,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Mark Andreae,University of Pittsburgh Medical Center,"University of Pittsburgh Medical Center, Pittsburgh, PA"
 Thomas Farley,University of California San Francisco Medical Center,"University of California San Francisco Medical Center, San Rafael, CA"
 Michelle McMoon,Duke University,"Duke University, Durham, NC"
 Jiyeon Kang,Department of Anthropology,"Department of Anthropology, University of Virginia, Charlottesville, VA"
 Fuchsia Howard,University of British Columbia,"University of British Columbia, Vancouver, Canada"
 Melanie Robbins-Ong,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Shay Huang,University of Chicago Pritzker School of Medicine,"University of Chicago Pritzker School of Medicine, Chicago, IL"
 France Clarke,McMaster University,"McMaster University, Hamilton, ON"
 Alyson Takaoka,McMaster University,"McMaster University, Hamilton, ON"
 Paula Cairns,University of South Florida,"University of South Florida, Safety Harbor, FL"
 Margo van Mol,Erasmus MC - University Medical Center,"Erasmus MC - University Medical Center, Rotterdam, the Netherlands"
 Taylor Rhew,Eskenazi Health,"Eskenazi Health, Indianapolis, IN"
 Julia Raddatz,Atrium Health,"Atrium Health, Charlotte, NC"
 Eva Laerkner,Odense University Hospital,"Odense University Hospital, Odense, Denmark"
 Terra Landis,Glenville,"Glenville, PA"
 Avnee Kumar,Baltimore,"Baltimore, MD"
 Shannon Wright,Lakeland Regional Health,"Lakeland Regional Health, Lakeland, FL"
 Ronke Awojoodu,Anesthesiology and Critical Care Medicine,"Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, MD"
 David Wacker,University of Minnesota Medical School,"University of Minnesota Medical School, Minneapolis, MN"
 Christopher Carroll,Connecticut Children’s Medical Center,"Connecticut Children’s Medical Center, Hartford, CT"
 Megan Fretwell,University of Virginia,"University of Virginia, Charlottesville, VA"
 Sebastian Dambrauskas,Red Colaborativa Pediátrica de Latinoamérica (LARed Network),"Red Colaborativa Pediátrica de Latinoamérica (LARed Network), Montevideo, Uruguay"
 Colleen Badke,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Ann & Robert H. Lurie Children’s Hospital of Chicago, Chicago, IL"
 Alison Austermuehle,The University of Chicago,"The University of Chicago, Chicago, IL"
 Meghan Harding,University of Michigan,"University of Michigan, C.S. Mott Children’s Hospital, Ann Arbor, MI"
 Ann Pawluszka,Wayne State University,"Wayne State University, Detroit, MI"
 Leslie Sealey,Atrium Health,"Atrium Health, Charlotte, NC"
 Stephanie La Count,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Jennifer Salant,Columbia University Medical Center,"Columbia University Medical Center, New York, NY"
 Marissa Attis,Monroe Carell Jr. Children’s Hospital,"Monroe Carell Jr. Children’s Hospital, Vanderbilt University School of Medicine, Nashville, TN"
 Shannon Solt,Chapel Hill,"Chapel Hill, NC"
 Elizabeth Thompson,Duke University Hospital,"Duke University Hospital, Durham, NC"
 Trent Arbough,Cincinnati Children’s Hospital,"Cincinnati Children’s Hospital, Cincinnati, OH"
 Katherine Jarrell,Charleston Area Medical Center,"Charleston Area Medical Center, Charleston, WV"
 Joseph Dario,New York Presbyterian Hospital / Weill Cornell Medical College,"New York Presbyterian Hospital / Weill Cornell Medical College, New York, NY"
 Austin Biggs,Nationwide Children’s Hospital,"Nationwide Children’s Hospital, Columbus, OH"
 Jeffrey Cies,St. Christopher’s Hospital For Children,"St. Christopher’s Hospital For Children, Philadelphia, PA"
 Thao Nguyen,Houston,"Houston, Texas"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi, Pakistan"
 David Mari,Naval Medical Center Portsmouth,"Naval Medical Center Portsmouth, Portsmouth, VA"
 Daniel Eidman,Yale New Haven Children’s Hospital,"Yale New Haven Children’s Hospital, New Haven, CT"
 Paul Tomlinson,Connecticut Children’s,"Connecticut Children’s, Hartford, CT"
 Matthew Goldstein,AdventHealth for Children,"AdventHealth for Children, Orlando, FL"
 Melany Gaetani,The Hospital for Sick Children,"The Hospital for Sick Children, Toronto, ON"
 Peter Johnson,University of Oklahoma Health Sciences Center,"University of Oklahoma Health Sciences Center, Oklahoma City, OK"
 Brandon Tallman,OSF health care,"OSF health care, Peoria, IL"
 Ji Liu,Portland,"Portland, ME"
 Divij Pasrija,Oshei Children’s hospital,"Oshei Children’s hospital, Buffalo, NY"
 Leah Behrmann,Lakewood,"Lakewood, CO"
 Omar Rahman,Indiana University School of Medicine,"Indiana University School of Medicine, Indianapolis, IN"
 Corinne Bertolaccini,University of Utah Health,"University of Utah Health, Salt Lake City, UT"
 Ann Marie Prazak,University of Utah Health Burn Center,"University of Utah Health Burn Center, Salt Lake City, UT"
 Robert MacLaren,Aurora,"Aurora, CO"
 E. Scott Halstead,Hershey,"Hershey, PA"
 Kimberly Rush,Fellow,"Fellow, Charlottesville, VA"
 Ila Sehgal,N/A,N/A
 Robert Kavanagh,Penn State College of Medicine,"Penn State College of Medicine, Hershey, PA"
 Meagan Latham,Saint John,"Saint John, IN"
 Andrew Jarrell,The Johns Hopkins Hospital,"The Johns Hopkins Hospital, Baltimore, MD"
 Traci Grucz,The Johns Hopkins Hospital,"The Johns Hopkins Hospital, Baltimore, MD"
 Rutuja Sikachi,New Hyde Park,"New Hyde Park, Ny"
 Chelsea Krueger,Dallas VA Medical Center,"Dallas VA Medical Center, Dallas, TX"
 Julie Willmon,Orlando,"Orlando, FL"
 Bridgette Kram,Duke University Hospital,"Duke University Hospital, Durham, NC"
 Sally Kim,Kingsbrook Jewish Medical Center,"Kingsbrook Jewish Medical Center, Brooklyn, NY"
 Emily Hodge,Seton Healthcare Family,"Seton Healthcare Family, Austin, TX"
 Michaelia Cucci,Cleveland Clinic Akron General,"Cleveland Clinic Akron General, Akron, OH"
 Nicholas Franz,University of Michigan,"University of Michigan, Department of Pharmacy Services, Ann Arbor, MI"
 Julianne Yeary,Barnes Jewish Hospital,"Barnes Jewish Hospital, Saint Louis, MO"
 Philip Keith,Winston Salem,"Winston Salem, NC"
 Rima Bouajram,UCSF Medical Center,"UCSF Medical Center, San Francisco, CA"
 Deepali Dixit,Ernest Mario School of Pharmacy,"Ernest Mario School of Pharmacy, Piscataway, NJ"
 Kelly Groover,Lee Memorial Hospital,"Lee Memorial Hospital, Fort Myers, Florida"
 Shawn Kram,Duke University Hospital,"Duke University Hospital, Durham, NC"
 Kevin Betthauser,Barnes Jewish Hospital,"Barnes Jewish Hospital, Saint Louis, MO"
 Edward Van Matre,University of Tennessee College of Pharmacy,"University of Tennessee College of Pharmacy, Memphis, TN"
 Nirali Kalaria,Christiana Care Health System,"Christiana Care Health System, Newark, DE"
 Kaitlin Landolf,University of Maryland Medical Center,"University of Maryland Medical Center, Baltimore, MD"
 Megan Rieder,Denver,"Denver, CO"
 Elizabeth Staub,University of California San Francisco Medical Center,"University of California San Francisco Medical Center, San Francisco, CA"
 Megan Barra,Massachusetts General Hospital,"Massachusetts General Hospital, Boston, MA"
 Calvin Diep,Stanford Healthcare,"Stanford Healthcare, Stanford, CA"
 Victoria Ramos,John H. Stroger,"John H. Stroger, Jr. Hospital of Cook County, Chicago, IL"
 Shawn Phillips,Albany Medical Center,"Albany Medical Center, Albany, NY"
 Nicholas Farina,Ann Arbor,"Ann Arbor, MI"
 Christina Boncyk,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Jennifer Misencik,Ascension Saint Thomas West Hospital,"Ascension Saint Thomas West Hospital, Nashville, TN"
 Lauren Lees,Hillcrest Hospital South,"Hillcrest Hospital South, Tulsa, OK"
 Jessica Andrews,AdventHealth Orlando,"AdventHealth Orlando, Orlando, FL"
 Brian Kurish,ProMedica Toledo Hospital,"ProMedica Toledo Hospital, Toledo, OH"
 Najwan Augustin,Michigan State University College of Osteopathic Medicine,"Michigan State University College of Osteopathic Medicine, East Lansing, MI"
 Rebecca Greene,Rhode Island Hospital,"Rhode Island Hospital, Providence, RI"
 Tia Collier,UNC REX,"UNC REX, Raleigh, NC"
 Sean Mertz,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Mona Patel,New York Presbyterian Hospital-Columbia,"New York Presbyterian Hospital-Columbia, New York, NY"
 Sydney Archer,The University of Kansas Health System,"The University of Kansas Health System, Prairie Village, KS"
 Janelle Poyant,Tufts Medical Center,"Tufts Medical Center, Boston, MA"
 Kaitlin Ferguson,Bryan Health,"Bryan Health, Lincoln, NE"
 Allison Boyd,Rhode Island Hospital,"Rhode Island Hospital, Providence, RI"
 J. Haller,St. Joseph’s Medical Center,"St. Joseph’s Medical Center, Phoenix, AZ"
 Gourang Patel,Rush University Medical Center,"Rush University Medical Center, Chicago, IL"
 Andrea Newsome,North Augusta,"North Augusta, SC"
 Mark Malesker,Creighton University School of Pharmacy,"Creighton University School of Pharmacy, Omaha, NE"
 Ashley Milkovits,Carilion Roanoke Memorial Hospital,"Carilion Roanoke Memorial Hospital, Roanoke, VA"
 Jennifer Schultheis,Durham,"Durham, NC"
 Sul Jung,Ventura County Medical Center,"Ventura County Medical Center, Ventura, CA"
 Kaitlin Landolf,University of Maryland Medical Center,"University of Maryland Medical Center, Baltimore, MD"
 Haya Kaseer,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Mallory Fiorenza,Fort Myers,"Fort Myers, FL"
 Richard Ramonell,Emory University School of Medicine,"Emory University School of Medicine, Atlanta, GA"
 Ashley Milkovits,Carilion Roanoke Memorial Hospital,"Carilion Roanoke Memorial Hospital, Roanoke, VA"
 Danielle Walla,University of Minnesota Medical Center,"University of Minnesota Medical Center, Minneapolis, MN"
 Sheriff Gbadamosi,Hospital of the University of Pennsylvania,"Hospital of the University of Pennsylvania, Philadelphia, PA"
 Olivia Marchionda,Thomas Jefferson University Hospital,"Thomas Jefferson University Hospital, Philadelphia, PA"
 Brittney Duewell,Froedtert & the Medical College of Wisconsin,"Froedtert & the Medical College of Wisconsin, Milwaukee, WI"
 Janise Phillips,Cleveland Clinic Abu Dhabi,"Cleveland Clinic Abu Dhabi, Abu Dhabi, United Arab Emirates"
 Mitchell Buckley,Banner - University Medical Center Phoenix,"Banner - University Medical Center Phoenix, Phoenix, AZ"
 Mary Bradley,Aurora,"Aurora, CO"
 Jamie Micheletto,Chicago,"Chicago, IL"
 Sai Ho Chui,University of Maryland School of Pharmacy,"University of Maryland School of Pharmacy, Fulton, MD"
 Sheshadrie Saha,Burlington,"Burlington, MA"
 Tariq Sallam,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington, DC"
 Payal Patel,MUSC Health of Medical University of South Carolina,"MUSC Health of Medical University of South Carolina, Charleston, SC"
 Mitchell Buckley,Banner - University Medical Center Phoenix,"Banner - University Medical Center Phoenix, Phoenix, AZ"
 Kaitlyn DeHoff,St. Joseph Mercy Oakland,"St. Joseph Mercy Oakland, Pontiac, MI"
 Daniel Dickson,Northwestern Memorial Hospital,"Northwestern Memorial Hospital, Chicago, IL"
 Sarah Piel,Lund University,"Lund University, Lund, Sweden"
 Erin Goodwin,Emory Saint Joseph’s Hospital,"Emory Saint Joseph’s Hospital, Atlanta, GA"
 Jason Hecht,Ann Arbor,"Ann Arbor, MI"
 Sergey Motov,Maimonides Medical Center,"Maimonides Medical Center, Brooklyn, NY"
 Lindsay Deloney,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Brandon Hobbs,Orlando,"Orlando, FL"
 Jessica Hirsch,The Ohio State University Wexner Medical Center,"The Ohio State University Wexner Medical Center, Columbus, OH"
 Daniel Colon Hidalgo,Loyola University Medical Center,"Loyola University Medical Center, Maywood, IL"
 Lauren Schmidt,Penn Presbyterian Medical Center,"Penn Presbyterian Medical Center, Philadelphia, PA"
 Megan Haberlein,The Mount Sinai Hospital,"The Mount Sinai Hospital, New York, NY"
 Chris Carter,SSM Health Saint Clare Hospital - Fenton,"SSM Health Saint Clare Hospital - Fenton, Manchester, MO"
 Shan Wang,Mineola,"Mineola, NY"
 Olivia Taylor,PharmD,"PharmD, Long Island, NY"
 Matthew Korobey,Saint Charles,"Saint Charles, MO"
 Breyanna Reachi,Intermountain Medical Center,"Intermountain Medical Center, Sandy, UT"
 Hannah Adams,Cleveland Clinic Akron General,"Cleveland Clinic Akron General, Akron, OH"
 Laura Coles,Forsyth Medical Center,"Forsyth Medical Center, Winston-Salem, NC"
 Christine Groth,Strong Memorial Hospital University of Rochester,"Strong Memorial Hospital University of Rochester, Rochester, NY"
 Carinda Feild,University of Florida,"University of Florida, Saint Petersburg, FL"
 Jinjoo Lee,AdventHealth East Orlando,"AdventHealth East Orlando, Orlando, FL"
 Carrie Griffiths,Wingate University School of Pharmacy,"Wingate University School of Pharmacy, Wingate, NC"
 Namrata Patil,Brigham & Women’s Hospital,"Brigham & Women’s Hospital, Boston, MA"
 Joseph Mazur,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Stephanie Lombardi,Hartford Hospital,"Hartford Hospital, Hartford, CT"
 Kaitlin Nutley,Saint Joseph Hospital,"Saint Joseph Hospital, Lexington, KY"
 Xi Liu-DeRyke,Orlando,"Orlando, FL"
 Kelsey Ohman,Durham,"Durham, NC"
 Charles Snyder,Spectrum Health,"Spectrum Health, Grand Rapids, MI"
 David Gagnon,Maine Medical Center,"Maine Medical Center, Portland, ME"
 Nirali Kalaria,Christiana Care Health System,"Christiana Care Health System, Newark, DE"
 Shelby Swanson,Omaha,"Omaha, NE"
 Justin Lin,Scripps Mercy Hospital San Diego,"Scripps Mercy Hospital San Diego, San Diego, CA"
 Andy Kim,Denver,"Denver, CO"
 Brian Schuler,Boston,"Boston, MA"
 Sophia Bonnin,Denver Health,"Denver Health, Denver, CO"
 Melissa Chudow,University of South Florida College of Pharmacy,"University of South Florida College of Pharmacy, Tampa, FL"
 Melanie Jaeger,University Health System,"University Health System, San Antonio, TX"
 Natalie Tucker,Methodist University Hospital,"Methodist University Hospital, Memphis, TN"
 Katherine Artman,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 David Fussell-Louie,UMass Memorial Medical Center,"UMass Memorial Medical Center, Worcester, MA"
 Sharon Jung,Loma Linda University Health,"Loma Linda University Health, Loma Linda, CA"
 Scott May,Hartford,"Hartford, CT"
 Erica Krantz,University of Cincinnati Medical Center,"University of Cincinnati Medical Center, Cincinnati, OH"
 Emily Owen,Barnes-Jewish Hospital,"Barnes-Jewish Hospital, Saint Louis, MO"
 Phil Grgurich,Massachusetts College of Pharmacy and Health Sciences University,"Massachusetts College of Pharmacy and Health Sciences University, Newton, MA"
 Cynthia Cheung,Yale New Haven Hospital,"Yale New Haven Hospital, New Haven, CT"
 Shiyi Geng,University of Alabama Medical Center,"University of Alabama Medical Center, Birmingham, AL"
 Cassie Hamilton,Erlanger Health System,"Erlanger Health System, Chattanooga, TN"
 Mary Eche,Beth Israel Deaconess Medical Center,"Beth Israel Deaconess Medical Center, Boston, MA, Boston, MA"
 Chelsea Bast,Carilion Roanoke Memorial Hospital,"Carilion Roanoke Memorial Hospital, Roanoke, VA"
 Heather Heiney,VCU Medical Center,"VCU Medical Center, Richmond, VA"
 Alexander Hess,University Hospitals Cleveland Medical Center,"University Hospitals Cleveland Medical Center, Cleveland, OH"
 R Gentry Wilkerson,University of Maryland School of Medicine,"University of Maryland School of Medicine, Department of Emergency Medicine, Baltimore, MD"
 Colman Hatton,University of Michigan,"University of Michigan, Ann Arbor, MI"
 Mohammad Jafari,North York,"North York, ON"
 Hannah Hollon,VCU,"VCU, Richmond, VA"
 Louisdon Pierre,The Brooklyn Hospital Center,"The Brooklyn Hospital Center, Brooklyn, NY"
 Dave Milzman,Chevy Chase,"Chevy Chase, MD"
 Rebecca Kirschner,University of Chicago Medicine,"University of Chicago Medicine, Chicago, IL"
 Mark Weber,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 John Kotula,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Kameron Rogers,Johns Hopkins Hospital,"Johns Hopkins Hospital, Baltimore, MD"
 Allison Whalen,MUSC Children’s Hospital,"MUSC Children’s Hospital, Charleston, SC"
 Mark Weber,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Brock Taylor,University of Illinois College of Medicine,"University of Illinois College of Medicine, Peoria, IL"
 Ryan DeSanti,University of Wisconsin-Madison,"University of Wisconsin-Madison, Madison, WI"
 Ahmed Veten,Penn State Milton S. Hershey Medical Center,"Penn State Milton S. Hershey Medical Center, Hershey, PA"
 Curran Daigle,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Aminat Ogun,St George’s University,"St George’s University, Grenada"
 Shefali Aggarwal,Advocate Children’s Hospital,"Advocate Children’s Hospital, Park Ridge, IL"
 Ryan Meinen,University of Wisconsin,"University of Wisconsin, Madison, WI"
 Miguel Ibarra-Estrada,Guadalajara,Guadalajara
 Kruti Shah,N/A,N/A
